id,franchise_id,instagram_url,facebook_url,twitter_url,linkedin_url,created_at,updated_at
bab79d3c-c7fc-4791-aff6-1d71701adb25,7cbee3c6-e9d5-40f1-9be2-ac2fe5053add,https://www.instagram.com/silverleafclothing,,,,2026-01-10 12:02:56,2026-01-10 12:02:56
ab6e4e30-7ed9-406c-a815-6513452933d7,ca257ac6-7d5b-4292-a6e1-9d71b5c73ada,https://www.instagram.com/chhabra555official,,,,2026-01-10 12:02:56,2026-01-10 12:02:56
14a27e4f-6613-47e2-acd4-6a987e759153,80126705-23b0-47c5-bf0b-bcce2bb4b417,,https://www.facebook.com/LiverpoolLosAngeles,,,2026-01-10 12:02:56,2026-01-10 12:02:56
9c092995-0359-448e-9de1-f6882db78aea,ae70ee5e-ea25-47b0-9b80-aba3400b5cd3,,,,,2026-01-10 12:02:56,2026-01-10 12:02:56
ef801a5a-6192-4179-9de2-4814a09eb7a0,f648ef1c-c7c1-4d7f-b04a-91bf04a6718d,,https://www.facebook.com/KumonIndia,,https://www.linkedin.com/company/kumon,2026-01-10 12:02:56,2026-01-10 12:02:56
5b11f145-2a1c-43f2-b82e-a60bb93e21ae,319210e7-b5f8-45c0-a3d0-9e384b46c5ca,,,,https://www.linkedin.com/company/msm-unify,2026-01-10 12:02:56,2026-01-10 12:02:56
df2c38bc-dd4d-4305-8cbe-c5c72728e414,58b4e1a8-1418-4da0-a57e-23d285891faf,https://www.instagram.com/instituteofquantummarketing,https://www.facebook.com/instituteofquantummarketing,,https://www.linkedin.com/company/institute-of-quantum-marketing,2026-01-10 12:02:56,2026-01-10 12:02:56
6e8dae20-32a7-40b3-b125-3c38f4b55515,b9e6ee77-95a5-4782-819e-2e9f0e39a9db,,,,,2026-01-10 12:02:56,2026-01-10 12:02:56
468ecd99-f780-4072-abd7-e013cdca7135,7484b19e-814d-4ca1-bfab-c1050e50b712,https://www.instagram.com/spellbeeinternational,https://www.facebook.com/spellbeeinternational,,https://www.linkedin.com/company/spellbee-international,2026-01-10 12:02:56,2026-01-10 12:02:56
e85c59ef-117b-4754-ab93-685f7a69be3a,e0d7a709-6146-4915-83d7-1906b24f9ce6,https://www.instagram.com/skilllync,https://www.facebook.com/skilllync,,https://www.linkedin.com/company/skill-lync,2026-01-10 12:02:56,2026-01-10 12:02:56
